arquivo,long,lat,linha,nome
downloads/1029.kml,-35.26571664959192,-5.733225289732218,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.265546161681414,-5.733333751559258,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.265376176685095,-5.73344481177628,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26520451530814,-5.733556542545557,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26502472348511,-5.733668608590961,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.264848452061415,-5.733779249712825,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26466547511518,-5.733899278566241,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26450437493622,-5.734001034870744,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26433908380568,-5.734088206663728,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.264172703027725,-5.734179150313139,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.264005651697516,-5.734287444502115,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26383097283542,-5.734398001804948,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.263639613986015,-5.734518868848681,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26347960345447,-5.734619703143835,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26331406086683,-5.734728248789907,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26315622963011,-5.734815755859017,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.262987837195396,-5.734919020906091,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26280167512596,-5.73503821156919,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26262355968356,-5.735149439424276,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26245675981045,-5.735267791897059,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26229909621179,-5.735377594828606,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26213422417641,-5.735466862097383,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.261936243623495,-5.735595524311066,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26173893362284,-5.735709015280008,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.261546317487955,-5.735825439915061,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26139276102185,-5.735930968075991,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26124599389732,-5.736041944473982,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26105890981853,-5.736128864809871,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.260872496291995,-5.736245708540082,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26070762425661,-5.736359199509025,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26073453016579,-5.73655684478581,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26089915074408,-5.73674401268363,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26105404831469,-5.736912908032537,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.261235013604164,-5.737100495025516,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26138136163354,-5.737261008471251,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26152586564422,-5.737418672069907,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26167053729296,-5.737570803612471,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26180498301983,-5.737711284309626,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26197706349194,-5.737895853817463,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26210589334369,-5.738031305372715,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26222709566355,-5.738191902637482,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26233279146254,-5.738381333649159,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26240889914334,-5.738592725247145,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.2624627109617,-5.738809900358319,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.262485509738326,-5.739028751850128,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26250537484884,-5.739257829263806,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26252029463649,-5.739450110122562,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26252884417772,-5.739660747349262,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26253756135702,-5.739910528063774,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26254979893565,-5.740161314606667,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26256153360009,-5.740391314029694,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.262571508064866,-5.740621397271752,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
