,arquivo,lon,lat,linha,nome,information,rua,bairro
146,downloads/1029.kml,-35.25867015123367,-5.746841104701161,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Rua Serra Negra', 'neighbourhood': 'Soledade I', 'suburb': 'Potengi', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59112-490', 'country': 'Brasil', 'country_code': 'br'}",Rua Serra Negra,Potengi
172,downloads/1029.kml,-35.253981063142426,-5.750491842627525,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida Pico do Cabugi', 'neighbourhood': 'Soledade I', 'suburb': 'Potengi', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59110-390', 'country': 'Brasil', 'country_code': 'br'}",Avenida Pico do Cabugi,Potengi
174,downloads/1029.kml,-35.25437006726861,-5.7507220935076475,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Rua Jequiriçá', 'neighbourhood': 'Soledade II', 'suburb': 'Potengi', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59110-390', 'country': 'Brasil', 'country_code': 'br'}",Rua Jequiriçá,Potengi
178,downloads/1029.kml,-35.25511329062283,-5.751157030463219,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida Senhor do Bomfim', 'neighbourhood': 'Soledade II', 'suburb': 'Potengi', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59110-390', 'country': 'Brasil', 'country_code': 'br'}",Avenida Senhor do Bomfim,Potengi
181,downloads/1029.kml,-35.25484624318778,-5.751739572733642,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Rua Vital Ramos', 'neighbourhood': 'Santa Catarina', 'suburb': 'Potengi', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59110-390', 'country': 'Brasil', 'country_code': 'br'}",Rua Vital Ramos,Potengi
217,downloads/1029.kml,-35.249680392444134,-5.757940420880914,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Rua Paranduva', 'suburb': 'Potengi', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59108-500', 'country': 'Brasil', 'country_code': 'br'}",Rua Paranduva,Potengi
231,downloads/1029.kml,-35.251918025314815,-5.759833725169301,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Rua Ilhéus', 'neighbourhood': 'Santa Catarina', 'suburb': 'Potengi', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59108-500', 'country': 'Brasil', 'country_code': 'br'}",Rua Ilhéus,Potengi
239,downloads/1029.kml,-35.2533499058336,-5.760696809738874,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida Guadalupe', 'suburb': 'Potengi', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59108-500', 'country': 'Brasil', 'country_code': 'br'}",Avenida Guadalupe,Potengi
251,downloads/1029.kml,-35.252082645893104,-5.762173784896731,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'amenity': 'Pague Fácil', 'house_number': '1835', 'road': 'Avenida Doutor João Medeiros Filho', 'neighbourhood': 'Panatis', 'suburb': 'Potengi', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59296-850', 'country': 'Brasil', 'country_code': 'br'}",Avenida Doutor João Medeiros Filho,Potengi
266,downloads/1029.kml,-35.25463694706559,-5.764544438570738,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida Doutor João Medeiros Filho', 'neighbourhood': 'Panatis', 'suburb': 'Igapó', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59296-850', 'country': 'Brasil', 'country_code': 'br'}",Avenida Doutor João Medeiros Filho,Igapó
